County,Regional Council
Allegany,Western New York
Cattaraugus,Western New York
Chautauqua,Western New York
Erie,Western New York
Niagara,Western New York
Genesee,Finger Lakes
Livingston,Finger Lakes
Monroe,Finger Lakes
Ontario,Finger Lakes
Orleans,Finger Lakes
Seneca,Finger Lakes
Wayne,Finger Lakes
Wyoming,Finger Lakes
Yates,Finger Lakes
Broome,Southern Tier
Chemung,Southern Tier
Chenango,Southern Tier
Delaware,Southern Tier
Schuyler,Southern Tier
Steuben,Southern Tier
Tioga,Southern Tier
Tompkins,Southern Tier
Cayuga,Central New York
Cortland,Central New York
Madison,Central New York
Onondaga,Central New York
Oswego,Central New York
Fulton,Mohawk Valley
Herkimer,Mohawk Valley
Montgomery,Mohawk Valley
Oneida,Mohawk Valley
Otsego,Mohawk Valley
Schoharie,Mohawk Valley
Clinton,North Country
Essex,North Country
Franklin,North Country
Hamilton,North Country
Jefferson,North Country
Lewis,North Country
St. Lawrence,North Country
Albany,Capital Region
Columbia,Capital Region
Greene,Capital Region
Saratoga,Capital Region
Schenectady,Capital Region
Rensselaer,Capital Region
Warren,Capital Region
Washington,Capital Region
Dutchess,Mid-Hudson
Orange,Mid-Hudson
Putnam,Mid-Hudson
Rockland,Mid-Hudson
Sullivan,Mid-Hudson
Ulster,Mid-Hudson
Westchester,Mid-Hudson
Bronx,New York City
Kings,New York City
New York,New York City
Richmond,New York City
Queens,New York City
Nassau,Long Island
Suffolk,Long Island
